,movie_title,review_content,review_score
10027,Manuscripts Don't Burn,"The film observes rather than thrills, methodically demonstrating: this is how it happens. This tone and the even-keel direction avoid the trappings of a screed. It's actually a quiet but angry film.",2.5/4
10028,The Manxman,Filled with enchanting scenes and the story itself is quite well told.,3.5/5
10029,Many Adventures of Winnie the Pooh,Quaint and fairly lovable kiddie adventures.,4.5/5
10030,Mao's Last Dancer,"Well presented and brimming over with reverence, Beresford's tribute to an ex-Communist Billy Elliot sidesteps hard hits for a solid performance.",3/5
10031,Map of the Human Heart,"Despite its historical surrounding and a few stabs at thematic depth, Map of the Human Heart has all the flavor and plot complexity of a Harlequin romance.",2/4
10032,Mapplethorpe,"Smith's performance hints at tightly coiled depths that the movie skates by, and his character becomes easier to resent even when he begins to get sick.",D+
10033,Maps to the Stars,A gripping and exquisitely horrible movie about contemporary Hollywood - positively vivisectional in its sadism and scorn.,4/5
10034,Mara,"Smart plot, but leaden pacing deflates the frights right out of it.",2/4
10035,Marathon Man,"Marathon Man (1976) is a scary nightmare thriller, best known for the suspenseful pursuit scenes and a truly repellent scene of torture.",A
10036,Marathon: The Patriots Day Bombing,"It focuses, rightly so, on the survivors, still courageously trying to overcome their wounds - and on those who didn't survive, to whom the film is dedicated.",3/4
10037,Marat/Sade,"Told in rhyme and song, Marat/Sade entertains, informs, moves and horrifies in equal measure.",5/5
10038,Marauders,"What makes it watchable despite all the narrative hemming and hawing are the robberies themselves, which are vital and potent thanks to some inventive choices in execution.",B-
10039,Marc Maron: Too Real,"Too Real is passable time-filler - no matter that, halfway through you may be seized by the desire to switch off and listen to one of his podcasts instead.",3/5
10040,The Marc Pease Experience,Consider: A bad movie about cheesy a cappella and awful musical theater. What could be more excruciating?,1.5/4
10041,Marcel Duchamp: The Art of the Possible,Duchamp deserves better.,2.5/4
10042,March of the Penguins,milie Simon's music is as cute as the little baby penguins.,3/4
10043,Babes In Toyland,"Fair is fair, so it really isn't a Christmas movie, but it'd take an outright Scrooge to complain about that.",4.5/5
10044,Marci X,"once-topical comedy that today feels like something out of the 'day-old' bin. It is not, however, the disaster its much-delayed release might indicate.",2.5/4
10045,Mardi Gras: Made in China,"Redmon is impressively hands-off, allowing the material to speak for itself about the headless beast of globalization.",3/4
10046,Marebito,What begins as a smart J-horror update of Blowup quickly turns into a sick joke.,2/4
10047,Marfa Girl,The film finds the actors' performance deficiencies functioning less as signs of authentic teenage behavior than as an incompetent carrier of plot.,2/4
10048,Margaret,"It's easy to see the years of frustration on screen in this plodding, overstuffed and fatally self-important coming of age story.",2/5
10049,Margin Call,"There have been better movies set in the financial world, but for a rather contained ensemble drama, it generally works, though it's no Inside Job",7/10
10050,Margot at the Wedding,"These people are so intensely unlikable, and the film so unwilling to help them toward any sort of redemption, that Margot becomes a sour and unrewarding experience.",C+
10051,Marguerite & Julien (Marguerite et Julien),"It finds its filmmaker completely lost between impulses to pay homage, play it safe, or offer something--anything--new.",1/4
10052,Maria Bamford: Old Baby,"Maria Bamford's unique ability to meld angst, annoyance, joy, and giddy good will into an exhilarating, buoyant whole is a miracle of its own, and it never gets boring.",A
10053,Maria By Callas,[A] respectful documentary. [Full review in Spanish],4/5
10054,Maria Full of Grace,"It's a 'good person in a bad situation' movie, and while the grim realities of life are dealt with dramatically and capably, it is not as inspiring as perhaps it means to be.",B
10055,Mariachi Gringo,"As the moving concluding scenes cement, ""Mariachi Gringo"" is right on pitch - and, happily, not simply as you'd expect.",3.5/5
10056,Marianne & Leonard: Words of Love,A powerful time capsule of longing and desire.,4/5
10057,Marie Curie: The Courage of Knowledge,"While the drama could have been more engrossing and substantive, the evocative period detail greatly enhances Noelle's selective and intimate portrait of a loving wife, mother and workaholic.",3/5
10058,Marigold,Amusing diversion.,3/5
10059,Marilyn Hotchkiss Ballroom Dancing & Charm School,Long on good intentions but short on believability.,C
10060,Marina Abramovic: The Artist Is Present,"As entertaining as the doc is, it never really measures up to the fascination and sheer force of personality of its subject.",2.5/4
10061,The Marine,"While The Marine's real-world connections to the War in Iraq are brief and incidental to its minimal plot, that fact doesn't make its reductive attitudes any more pleasant to swallow.",0.5/4
10062,Marinoni: The Fire in the Frame,"Montreal filmmaker Tony Girardin has a reluctant subject in 75-year-old master bicycle craftsman Giuseppe Marinoni, whose handmade bike frames are coveted by racers and serious riders alike.",2.5/4
10063,Mario,"Mario touches on these fears perfectly, not just for the main characters, but the entire ensemble. Uncertainness is universal, along with the pursuit of happiness.",3/5
10064,Marion Bridge,Small but beautifully acted drama.,3.5/5
10065,Marjoe,A portrait of interior disconnect between authentic faith and cynical disillusionment.,3/4
10066,Marjorie Prime,Fascinatingly explores the perception and dissolution of what we remember throughout our lives.,B
10067,Mark of the Devil,"The pic lacks the substance that made Michael Reeves' The Conqueror Worm a horror classic, as it too easily settles in to be solely a shocker torture-porn flick.",C+
10068,Mark Felt: The Man Who Brought Down the White House,"The worst thing, though, is that there's already a masterpiece of a film telling this story from the other side, Alan J Pakula's All The President's Men.",2/5
10069,Marked for Death,"...rated R for violence, killing (lots of), profanity, nudity, bone crushing, bone bashing, and bone breaking. ...the whole thing is boneheaded.",5/10
10070,Marked Woman,Hard hitting Warner Bros. gangland drama with a dream cast.,4/5
10071,Marketa Lazarová,"Director Vlacil does not try to romanticize medieval knighthood but creates an atmosphere of mysticism and superstition, with excellent results.",4/4
10072,Marlene,"At once enigmatic, deliberately obfuscating in nature and extremely revealing.",4/5
10073,Marley,What results is an immensely detailed overview of Marley's life and times...,4/5
10074,Marley & Me,"The ads suggest a cute and innocuous dog comedy, but the film is actually a poignant, well-acted portrait of a marriage as it changes over time.",B
10075,Marlowe,A thoroughly enjoyable Philip Marlowe mystery.,A
10076,Marmaduke,"How bad is Marmaduke? Let's put it this way: Garfield, come home - all is forgiven.",1/5
10077,Marnie,"A critical and popular misfire upon its 1964 release, Marnie, smart and stylish, has since come into its own to be widely acknowledged as Hitchcock's final classic.",3.5/4
10078,Marooned,"Marooned isn't very interesting from a stylistic point of view, and the actors tend to get buried beneath the technology, but it does tell an exciting story.",3/4
10079,Die Marquise von O... (The Marquise of O),"This minor Rohmer may not have much to offer beyond the clarity of its perspective (and the soft beauty of Nestor Almendros's delicate cinematography), but its message will only grow more urgent in time.",3/5
10080,Marriage Italian Style,It's a scenario that's milked (literally) for every drop of amusement.,3/5
10081,Marriage Story,"The film never loses its sense of humour and absurdity. Somehow, in spite of the bleakness of the subject matter, it feels more redemptive than despairing.",4/5
10082,Married to It,"Married to It has its heart in the right place, and wants desperately to shed light and sympathy on the challenges of modern marriage, but the screenplay marches from scene to scene as if solving a jigsaw puzzle.",2/4
10083,Married to the Mob,"For fans of Demme's work, however, or those who are looking for comedy that's off the beaten path, Married to the Mob might fill the bill.",2.5/4
10084,Une femme mariée: Suite de fragments d'un film tourné en 1964 (A Married Woman),If Jean-Luc Godard isn't careful he is going to shoot his way right out of the avant-garde -- out of the idolatrous affection of all those cinema buffs who go for movies that are formless and obscure.,5/5
10085,Marrowbone,"In the end, all the creaky floorboards and crackly old-vinyl recordings of 1940s ballads in the world, can't obscure the fact that the most haunting things about ""Marrowbone"" are the ghosts of all the better movies it fleetingly resembles.",C
10086,The Marrying Man,"Your basic, everyday boy-meets-girl, boy-marries-girl, boy-divorces-girl, boy-marries-girl-again, boy-divorces-girl-again, boy well, you get the idea.",C
10087,Mars,"Low key, low budget and low energy, this animated space odyssey from the writer and director Geoff Marslett accompanies three mismatched astronauts to the red planet and the search for new life forms.",3/5
10088,Mars Attacks!,"Given its flimsy premise, this film comes off not too badly.",3/5
10089,Mars Needs Moms,"Visually arresting and emotionally rich, Mars Needs Moms is another animated triumph from a rejuvenated Disney Animation.",4/5
10090,Mars Needs Women,It was as bad as I thought it would be and I thoroughly enjoyed it.,C-
